postcode,population,mean_age,perc_foreigners,salary
840,168,38,0.04,19603.0
841,367,47,0.04,14275.0
842,212,47,0.05,17211.0
843,823,48,0.02,18224.0
844,733,47,0.06,15308.0
845,1217,42,0.03,15354.0
846,278,48,0.01,16846.0
847,1779,39,0.01,17237.0
848,285,36,0.01,16844.0
849,10795,42,0.21,26248.0
850,5953,39,0.28,25641.0
851,409,42,0.04,27522.0
852,178,44,0.02,25436.0
853,144,45,0.11,19893.0
854,1137,48,0.06,21755.0
855,391,47,0.02,18321.0
856,243,53,0.01,13429.0
857,154,53,0.03,14594.0
858,408,52,0.01,14673.0
859,72,45,0.05,14833.0
860,5011,38,0.04,17425.0
861,340,49,0.0,20089.0
862,176,50,0.01,18037.0
863,6559,43,0.08,20041.0
864,1145,48,0.05,17910.0
865,825,50,0.05,18586.0
866,854,48,0.04,18937.0
867,531,44,0.03,19442.0
868,341,52,0.04,19694.0
869,1041,49,0.15,18845.0
870,564,48,0.04,17789.0
871,294,42,0.07,19251.0
872,4773,41,0.16,20217.0
873,439,51,0.06,20397.0
874,826,48,0.13,18837.0
875,940,46,0.18,19222.0
876,2656,43,0.14,20479.0
877,2265,44,0.09,20877.0
878,1542,46,0.06,19154.0
879,634,50,0.05,18821.0
880,841,48,0.06,18396.0
881,982,52,0.05,17462.0
882,4808,44,0.05,19750.0
883,349,41,0.07,20809.0
884,939,45,0.16,18745.0
885,42,48,0.05,17910.0
886,587,49,0.13,18981.0
887,383,39,0.02,18280.0
